date,total_stocks,above_sma20,sma20_percent,above_sma50,sma50_percent,market_regime,market_score
2024-12-30,176,0,0.0,0,0.0,Strong Downtrend,0.0
2024-12-31,176,118,67.05,118,67.05,Uptrend,0.67
2025-01-01,176,135,76.7,135,76.7,Strong Uptrend,0.767
2025-01-02,176,142,80.68,142,80.68,Strong Uptrend,0.807
2025-01-03,176,115,65.34,115,65.34,Uptrend,0.653
2025-01-06,176,34,19.32,34,19.32,Strong Downtrend,0.193
2025-01-07,176,71,40.34,71,40.34,Choppy/Sideways,0.403
2025-01-08,176,50,28.41,50,28.41,Strong Downtrend,0.284
2025-01-09,176,41,23.3,41,23.3,Strong Downtrend,0.233
2025-01-10,176,20,11.36,20,11.36,Strong Downtrend,0.114
2025-01-13,176,6,3.41,6,3.41,Strong Downtrend,0.034
2025-01-14,176,20,11.36,20,11.36,Strong Downtrend,0.114
2025-01-15,176,22,12.5,22,12.5,Strong Downtrend,0.125
2025-01-16,176,46,26.14,46,26.14,Strong Downtrend,0.261
2025-01-17,176,50,28.41,50,28.41,Strong Downtrend,0.284
2025-01-20,176,65,36.93,65,36.93,Downtrend,0.369
2025-01-21,176,49,27.84,49,27.84,Strong Downtrend,0.278
2025-01-22,176,37,21.02,37,21.02,Strong Downtrend,0.21
2025-01-23,176,44,25.0,44,25.0,Strong Downtrend,0.25
2025-01-24,176,30,17.05,30,17.05,Strong Downtrend,0.17
2025-01-27,176,15,8.52,13,7.39,Strong Downtrend,0.081
2025-01-28,176,15,8.52,16,9.09,Strong Downtrend,0.087
2025-01-29,176,33,18.75,28,15.91,Strong Downtrend,0.176
2025-01-30,176,36,20.45,29,16.48,Strong Downtrend,0.189
2025-01-31,176,64,36.36,50,28.41,Downtrend,0.332
2025-02-01,176,63,35.8,44,25.0,Downtrend,0.315
2025-02-03,176,48,27.27,36,20.45,Strong Downtrend,0.245
2025-02-04,176,72,40.91,47,26.7,Choppy/Sideways,0.352
2025-02-05,176,97,55.11,57,32.39,Choppy/Sideways,0.46
2025-02-06,176,88,50.0,62,35.23,Choppy/Sideways,0.441
2025-02-07,176,79,44.89,56,31.82,Choppy/Sideways,0.397
2025-02-10,176,47,26.7,41,23.3,Strong Downtrend,0.253
2025-02-11,176,23,13.07,22,12.5,Strong Downtrend,0.128
2025-02-12,176,25,14.2,25,14.2,Strong Downtrend,0.142
2025-02-13,176,24,13.64,21,11.93,Strong Downtrend,0.13
2025-02-14,176,13,7.39,10,5.68,Strong Downtrend,0.067
2025-02-17,176,14,7.95,15,8.52,Strong Downtrend,0.082
2025-02-18,176,19,10.8,12,6.82,Strong Downtrend,0.092
2025-02-19,176,31,17.61,23,13.07,Strong Downtrend,0.158
2025-02-20,176,42,23.86,25,14.2,Strong Downtrend,0.2
2025-02-21,176,40,22.73,24,13.64,Strong Downtrend,0.191
2025-02-24,176,34,19.32,20,11.36,Strong Downtrend,0.161
2025-02-25,176,30,17.05,24,13.64,Strong Downtrend,0.157
2025-02-27,176,22,12.5,15,8.52,Strong Downtrend,0.109
2025-02-28,176,17,9.66,12,6.82,Strong Downtrend,0.085
2025-03-03,176,17,9.66,14,7.95,Strong Downtrend,0.09
2025-03-04,176,18,10.23,17,9.66,Strong Downtrend,0.1
2025-03-05,176,42,23.86,21,11.93,Strong Downtrend,0.191
2025-03-06,176,63,35.8,31,17.61,Downtrend,0.285
2025-03-07,176,80,45.45,33,18.75,Choppy/Sideways,0.348
2025-03-10,176,63,35.8,28,15.91,Downtrend,0.278
2025-03-11,176,68,38.64,27,15.34,Downtrend,0.293
2025-03-12,176,54,30.68,32,18.18,Downtrend,0.257
2025-03-13,176,51,28.98,27,15.34,Strong Downtrend,0.235
2025-03-17,176,63,35.8,31,17.61,Downtrend,0.285
2025-03-18,176,96,54.55,40,22.73,Choppy/Sideways,0.418
2025-03-19,176,134,76.14,62,35.23,Choppy/Sideways,0.598
2025-03-20,176,139,78.98,62,35.23,Choppy/Sideways,0.615
2025-03-21,176,158,89.77,83,47.16,Choppy/Sideways,0.727
2025-03-24,176,164,93.18,97,55.11,Choppy/Sideways,0.78
2025-03-25,176,146,82.95,81,46.02,Choppy/Sideways,0.682
2025-03-26,176,124,70.45,75,42.61,Choppy/Sideways,0.593
2025-03-27,176,141,80.11,85,48.3,Choppy/Sideways,0.674
2025-03-28,176,128,72.73,85,48.3,Choppy/Sideways,0.63
2025-04-01,176,138,78.41,86,48.86,Choppy/Sideways,0.666
2025-04-02,176,145,82.39,97,55.11,Choppy/Sideways,0.715
2025-04-03,176,148,84.09,99,56.25,Choppy/Sideways,0.73
2025-04-04,176,92,52.27,78,44.32,Choppy/Sideways,0.491
2025-04-07,176,37,21.02,43,24.43,Strong Downtrend,0.224
2025-04-08,176,70,39.77,67,38.07,Downtrend,0.391
2025-04-09,176,55,31.25,57,32.39,Downtrend,0.317
2025-04-11,176,86,48.86,77,43.75,Choppy/Sideways,0.468
2025-04-15,176,129,73.3,103,58.52,Choppy/Sideways,0.674
2025-04-16,176,139,78.98,117,66.48,Uptrend,0.74
2025-04-17,176,140,79.55,122,69.32,Uptrend,0.755
2025-04-21,176,149,84.66,140,79.55,Strong Uptrend,0.826
2025-04-22,176,152,86.36,144,81.82,Strong Uptrend,0.845
2025-04-23,176,157,89.2,147,83.52,Strong Uptrend,0.869
2025-04-24,176,155,88.07,148,84.09,Strong Uptrend,0.865
2025-04-25,176,124,70.45,131,74.43,Strong Uptrend,0.72
2025-04-28,176,128,72.73,135,76.7,Strong Uptrend,0.743
2025-04-29,176,128,72.73,134,76.14,Strong Uptrend,0.741
2025-04-30,176,95,53.98,121,68.75,Choppy/Sideways,0.599
2025-05-02,176,81,46.02,117,66.48,Choppy/Sideways,0.542
2025-05-05,176,107,60.8,126,71.59,Uptrend,0.651
2025-05-06,176,58,32.95,101,57.39,Choppy/Sideways,0.427
2025-05-07,176,74,42.05,112,63.64,Choppy/Sideways,0.507
2025-05-08,176,47,26.7,86,48.86,Choppy/Sideways,0.356
2025-05-09,176,40,22.73,76,43.18,Choppy/Sideways,0.309
2025-05-12,176,123,69.89,139,78.98,Uptrend,0.735
2025-05-13,176,125,71.02,148,84.09,Strong Uptrend,0.762
2025-05-14,176,133,75.57,151,85.8,Strong Uptrend,0.797
2025-05-15,176,141,80.11,157,89.2,Strong Uptrend,0.838
2025-05-16,176,146,82.95,161,91.48,Strong Uptrend,0.864
2025-05-19,176,152,86.36,161,91.48,Strong Uptrend,0.884
2025-05-20,176,140,79.55,153,86.93,Strong Uptrend,0.825
2025-05-21,176,146,82.95,155,88.07,Strong Uptrend,0.85
2025-05-22,176,141,80.11,153,86.93,Strong Uptrend,0.828
2025-05-23,176,147,83.52,150,85.23,Strong Uptrend,0.842
2025-05-26,176,147,83.52,151,85.8,Strong Uptrend,0.844
2025-05-27,176,147,83.52,154,87.5,Strong Uptrend,0.851
2025-05-28,176,146,82.95,145,82.39,Strong Uptrend,0.827
2025-05-29,176,144,81.82,148,84.09,Strong Uptrend,0.827
2025-05-30,176,138,78.41,148,84.09,Strong Uptrend,0.807
2025-06-02,176,137,77.84,148,84.09,Strong Uptrend,0.803
2025-06-03,176,123,69.89,138,78.41,Uptrend,0.733
2025-06-04,176,124,70.45,137,77.84,Strong Uptrend,0.734
2025-06-05,176,123,69.89,139,78.98,Uptrend,0.735
2025-06-06,176,122,69.32,140,79.55,Uptrend,0.734
2025-06-09,176,140,79.55,153,86.93,Strong Uptrend,0.825
2025-06-10,176,135,76.7,153,86.93,Strong Uptrend,0.808
2025-06-11,176,136,77.27,154,87.5,Strong Uptrend,0.814
2025-06-12,176,109,61.93,138,78.41,Uptrend,0.685
2025-06-13,176,94,53.41,136,77.27,Choppy/Sideways,0.63
2025-06-16,176,97,55.11,135,76.7,Choppy/Sideways,0.637
2025-06-17,176,77,43.75,123,69.89,Choppy/Sideways,0.542
2025-06-18,176,68,38.64,119,67.61,Choppy/Sideways,0.502
2025-06-19,176,44,25.0,101,57.39,Choppy/Sideways,0.38
2025-06-20,176,57,32.39,104,59.09,Choppy/Sideways,0.431
2025-06-23,176,56,31.82,111,63.07,Choppy/Sideways,0.443
2025-06-24,176,73,41.48,118,67.05,Choppy/Sideways,0.517
2025-06-25,176,103,58.52,127,72.16,Choppy/Sideways,0.64
2025-06-26,176,113,64.2,131,74.43,Uptrend,0.683
2025-06-27,176,111,63.07,135,76.7,Uptrend,0.685
2025-06-30,176,121,68.75,129,73.3,Uptrend,0.706
2025-07-01,176,117,66.48,131,74.43,Uptrend,0.697
2025-07-02,176,106,60.23,129,73.3,Uptrend,0.655
2025-07-03,176,108,61.36,127,72.16,Uptrend,0.657
2025-07-04,176,106,60.23,131,74.43,Uptrend,0.659
2025-07-07,176,95,53.98,129,73.3,Choppy/Sideways,0.617
2025-07-08,176,98,55.68,127,72.16,Choppy/Sideways,0.623
2025-07-09,176,105,59.66,132,75.0,Choppy/Sideways,0.658
2025-07-10,176,115,65.34,134,76.14,Uptrend,0.697
2025-07-11,176,100,56.82,123,69.89,Choppy/Sideways,0.62
2025-07-14,176,104,59.09,115,65.34,Choppy/Sideways,0.616
2025-07-15,176,116,65.91,126,71.59,Uptrend,0.682
2025-07-16,176,118,67.05,137,77.84,Uptrend,0.714
2025-07-17,176,111,63.07,132,75.0,Uptrend,0.678
2025-07-18,176,98,55.68,122,69.32,Choppy/Sideways,0.611
2025-07-21,176,91,51.7,115,65.34,Choppy/Sideways,0.572
2025-07-22,176,72,40.91,105,59.66,Choppy/Sideways,0.484
2025-07-23,176,75,42.61,103,58.52,Choppy/Sideways,0.49
2025-07-24,176,72,40.91,94,53.41,Choppy/Sideways,0.459
2025-07-25,176,38,21.59,67,38.07,Downtrend,0.282
